state,Total TFIPSST,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
White alone,215927,2597,177,5570,2013,20352,3202,2331,633,188,11317,5548,226,1418,8295,8519,2556,1657,2672,2538,1233,3999,6808,5534,4177,1575,6508,585,1254,1274,1139,7838,1489,9944,5389,579,8242,2198,2760,8582,798,2453,457,5995,15891,1779,564,7848,7443,1649,7718,416
Black alone,32810,1420,0,234,371,1520,200,261,74,311,2114,2193,16,0,1326,563,56,109,245,1314,8,1664,510,898,141,1124,746,4,24,130,13,1499,72,2352,1291,0,895,133,28,1081,24,883,20,890,2478,23,12,2973,161,42,344,20
Asian alone,11309,20,20,100,46,3518,105,50,4,42,258,196,482,2,444,99,84,57,50,20,4,313,304,131,149,20,65,8,8,132,4,1052,32,966,111,4,101,55,56,195,4,20,20,64,410,60,0,649,551,4,220,0
Residual,9828,218,257,441,164,1158,124,70,0,8,253,307,316,48,210,200,86,80,67,128,59,147,103,257,106,32,203,168,4,102,22,312,100,295,351,16,258,643,259,174,3,68,51,166,482,72,4,313,509,65,299,50
Ethnic Origin (Total EORIGIN),269874,4255,454,6345,2594,26548,3631,2712,711,549,13942,8244,1040,1468,10275,9381,2782,1903,3034,4000,1304,6123,7725,6820,4573,2751,7522,765,1290,1638,1178,10701,1693,13557,7142,599,9496,3029,3103,10032,829,3424,548,7115,19261,1934,580,11783,8664,1760,8581,486
Yes,31759,85,8,1672,111,9104,412,291,120,11,2521,431,108,140,1436,553,111,147,76,139,4,150,310,182,246,72,118,16,72,388,20,1025,651,1111,485,0,152,201,233,214,68,153,23,109,6729,91,0,328,735,0,348,49
No,238115,4170,446,4673,2483,17444,3219,2421,591,538,11421,7813,932,1328,8839,8828,2671,1756,2958,3861,1300,5973,7415,6638,4327,2679,7404,749,1218,1250,1158,9676,1042,12446,6657,599,9344,2828,2870,9818,761,3271,525,7006,12532,1843,580,11455,7929,1760,8233,437
Born in US? (Total EBORNUS),269874,4255,454,6345,2594,26548,3631,2712,711,549,13942,8244,1040,1468,10275,9381,2782,1903,3034,4000,1304,6123,7725,6820,4573,2751,7522,765,1290,1638,1178,10701,1693,13557,7142,599,9496,3029,3103,10032,829,3424,548,7115,19261,1934,580,11783,8664,1760,8581,486
Yes,231819,4175,414,5214,2484,18042,3206,2278,627,492,10779,7446,726,1368,8649,8792,2577,1754,2930,3807,1259,5194,6534,6347,4110,2647,7256,745,1192,1232,1131,8148,1457,10487,6462,579,9168,2821,2732,9526,740,3225,543,6871,15539,1744,556,10285,7346,1736,7993,454
No,38055,80,40,1131,110,8506,425,434,84,57,3163,798,314,100,1626,589,205,149,104,193,45,929,1191,473,463,104,266,20,98,406,47,2553,236,3070,680,20,328,208,371,506,89,199,5,244,3722,190,24,1498,1318,24,588,32
